sample_id,char_id,sample_index,group_key,split
2/8,2,8,8,train
2/9,2,9,9,train
20/0,20,0,0,train
20/1,20,1,1,train
20/10,20,10,10,train
20/11,20,11,11,train
20/12,20,12,12,train
20/13,20,13,13,train
20/14,20,14,14,train
20/15,20,15,15,val
20/16,20,16,16,val
20/17,20,17,17,val
20/18,20,18,18,test
20/19,20,19,19,test
20/2,20,2,2,train
20/20,20,20,20,test
20/3,20,3,3,train
20/4,20,4,4,train
20/5,20,5,5,train
20/6,20,6,6,train
20/7,20,7,7,train
20/8,20,8,8,train
20/9,20,9,9,train
21/0,21,0,0,train
21/1,21,1,1,train
21/10,21,10,10,train
21/11,21,11,11,train
21/12,21,12,12,train
21/13,21,13,13,train
21/14,21,14,14,train
21/15,21,15,15,val
21/16,21,16,16,val
21/17,21,17,17,val
21/18,21,18,18,test
21/19,21,19,19,test
21/2,21,2,2,train
21/20,21,20,20,test
21/3,21,3,3,train
21/4,21,4,4,train
21/5,21,5,5,train
21/6,21,6,6,train
21/7,21,7,7,train
21/8,21,8,8,train
21/9,21,9,9,train
22/0,22,0,0,train
22/1,22,1,1,train
22/10,22,10,10,train
22/11,22,11,11,train
22/12,22,12,12,train
22/13,22,13,13,train
22/14,22,14,14,train
22/15,22,15,15,val
22/16,22,16,16,val
22/17,22,17,17,val
22/18,22,18,18,test
22/19,22,19,19,test
22/2,22,2,2,train
22/20,22,20,20,test
22/3,22,3,3,train
22/4,22,4,4,train
22/5,22,5,5,train
22/6,22,6,6,train
22/7,22,7,7,train
22/8,22,8,8,train
22/9,22,9,9,train
23/0,23,0,0,train
23/1,23,1,1,train
23/10,23,10,10,train
23/11,23,11,11,train
23/12,23,12,12,train
23/13,23,13,13,train
23/14,23,14,14,train
23/15,23,15,15,val
23/16,23,16,16,val
23/17,23,17,17,val
23/18,23,18,18,test
23/19,23,19,19,test
23/2,23,2,2,train
23/20,23,20,20,test
23/3,23,3,3,train
23/4,23,4,4,train
23/5,23,5,5,train
23/6,23,6,6,train
23/7,23,7,7,train
23/8,23,8,8,train
23/9,23,9,9,train
24/0,24,0,0,train
24/1,24,1,1,train
24/10,24,10,10,train
24/11,24,11,11,train
24/12,24,12,12,train
24/13,24,13,13,train
24/14,24,14,14,train
24/15,24,15,15,val
24/16,24,16,16,val
24/17,24,17,17,val
24/18,24,18,18,test
24/19,24,19,19,test
24/2,24,2,2,train
24/20,24,20,20,test
24/3,24,3,3,train
24/4,24,4,4,train
24/5,24,5,5,train
24/6,24,6,6,train
24/7,24,7,7,train
24/8,24,8,8,train
24/9,24,9,9,train
25/0,25,0,0,train
25/1,25,1,1,train
25/10,25,10,10,train
25/11,25,11,11,train
25/12,25,12,12,train
25/13,25,13,13,train
25/14,25,14,14,train
25/15,25,15,15,val
25/16,25,16,16,val
25/17,25,17,17,val
25/18,25,18,18,test
25/19,25,19,19,test
25/2,25,2,2,train
25/20,25,20,20,test
25/3,25,3,3,train
25/4,25,4,4,train
25/5,25,5,5,train
25/6,25,6,6,train
25/7,25,7,7,train
25/8,25,8,8,train
25/9,25,9,9,train
26/0,26,0,0,train
26/1,26,1,1,train
26/10,26,10,10,train
26/11,26,11,11,train
26/12,26,12,12,train
26/13,26,13,13,train
26/14,26,14,14,train
26/15,26,15,15,val
26/16,26,16,16,val
26/17,26,17,17,val
26/18,26,18,18,test
26/19,26,19,19,test
26/2,26,2,2,train
26/20,26,20,20,test
26/3,26,3,3,train
26/4,26,4,4,train
26/5,26,5,5,train
26/6,26,6,6,train
26/7,26,7,7,train
26/8,26,8,8,train
26/9,26,9,9,train
27/0,27,0,0,train
27/1,27,1,1,train
27/10,27,10,10,train
27/11,27,11,11,train
27/12,27,12,12,train
27/13,27,13,13,train
27/14,27,14,14,train
27/15,27,15,15,val
27/16,27,16,16,val
27/17,27,17,17,val
27/18,27,18,18,test
27/19,27,19,19,test
27/2,27,2,2,train
27/20,27,20,20,test
27/3,27,3,3,train
27/4,27,4,4,train
27/5,27,5,5,train
27/6,27,6,6,train
27/7,27,7,7,train
27/8,27,8,8,train
27/9,27,9,9,train
28/0,28,0,0,train
28/1,28,1,1,train
28/10,28,10,10,train
28/11,28,11,11,train
28/12,28,12,12,train
28/13,28,13,13,train
28/14,28,14,14,train
28/15,28,15,15,val
28/16,28,16,16,val
28/17,28,17,17,val
28/18,28,18,18,test
28/19,28,19,19,test
28/2,28,2,2,train
28/20,28,20,20,test
28/3,28,3,3,train
28/4,28,4,4,train
28/5,28,5,5,train
28/6,28,6,6,train
28/7,28,7,7,train
28/8,28,8,8,train
28/9,28,9,9,train
29/0,29,0,0,train
29/1,29,1,1,train
29/10,29,10,10,train
29/11,29,11,11,train
29/12,29,12,12,train
29/13,29,13,13,train
29/14,29,14,14,train
29/15,29,15,15,val
29/16,29,16,16,val
29/17,29,17,17,val
29/18,29,18,18,test
29/19,29,19,19,test
29/2,29,2,2,train
29/20,29,20,20,test
29/3,29,3,3,train
29/4,29,4,4,train
29/5,29,5,5,train
29/6,29,6,6,train
29/7,29,7,7,train
29/8,29,8,8,train
29/9,29,9,9,train
3/0,3,0,0,train
3/1,3,1,1,train
3/10,3,10,10,train
3/11,3,11,11,train
3/12,3,12,12,train
3/13,3,13,13,train
3/14,3,14,14,train
3/15,3,15,15,val
3/16,3,16,16,val
3/17,3,17,17,val
3/18,3,18,18,test
3/19,3,19,19,test
3/2,3,2,2,train
3/20,3,20,20,test
3/3,3,3,3,train
3/4,3,4,4,train
3/5,3,5,5,train
3/6,3,6,6,train
3/7,3,7,7,train
3/8,3,8,8,train
3/9,3,9,9,train
30/0,30,0,0,train
30/1,30,1,1,train
30/10,30,10,10,train
30/11,30,11,11,train
30/12,30,12,12,train
30/13,30,13,13,train
30/14,30,14,14,train
30/15,30,15,15,val
30/16,30,16,16,val
30/17,30,17,17,val
30/18,30,18,18,test
30/19,30,19,19,test
30/2,30,2,2,train
30/20,30,20,20,test
30/3,30,3,3,train
30/4,30,4,4,train
30/5,30,5,5,train
30/6,30,6,6,train
30/7,30,7,7,train
30/8,30,8,8,train
30/9,30,9,9,train
31/0,31,0,0,train
31/1,31,1,1,train
31/10,31,10,10,train
31/11,31,11,11,train
31/12,31,12,12,train
31/13,31,13,13,train
31/14,31,14,14,train
31/15,31,15,15,val
31/16,31,16,16,val
31/17,31,17,17,val
31/18,31,18,18,test
31/19,31,19,19,test
31/2,31,2,2,train
31/20,31,20,20,test
31/3,31,3,3,train
31/4,31,4,4,train
31/5,31,5,5,train
31/6,31,6,6,train
31/7,31,7,7,train
31/8,31,8,8,train
31/9,31,9,9,train
32/0,32,0,0,train
32/1,32,1,1,train
32/10,32,10,10,train
32/11,32,11,11,train
32/12,32,12,12,train
32/13,32,13,13,train
32/14,32,14,14,train
32/15,32,15,15,val
32/16,32,16,16,val
32/17,32,17,17,val
32/18,32,18,18,test
32/19,32,19,19,test
32/2,32,2,2,train
32/20,32,20,20,test
32/3,32,3,3,train
32/4,32,4,4,train
32/5,32,5,5,train
32/6,32,6,6,train
32/7,32,7,7,train
32/8,32,8,8,train
32/9,32,9,9,train
33/0,33,0,0,train
33/1,33,1,1,train
33/10,33,10,10,train
33/11,33,11,11,train
33/12,33,12,12,train
33/13,33,13,13,train
33/14,33,14,14,train
33/15,33,15,15,val
33/16,33,16,16,val
33/17,33,17,17,val
33/18,33,18,18,test
33/19,33,19,19,test
33/2,33,2,2,train
33/20,33,20,20,test
33/3,33,3,3,train
33/4,33,4,4,train
33/5,33,5,5,train
33/6,33,6,6,train
33/7,33,7,7,train
33/8,33,8,8,train
33/9,33,9,9,train
34/0,34,0,0,train
34/1,34,1,1,train
34/10,34,10,10,train
34/11,34,11,11,train
34/12,34,12,12,train
34/13,34,13,13,train
34/14,34,14,14,train
34/15,34,15,15,val
34/16,34,16,16,val
34/17,34,17,17,val
34/18,34,18,18,test
34/19,34,19,19,test
34/2,34,2,2,train
34/20,34,20,20,test
34/3,34,3,3,train
34/4,34,4,4,train
34/5,34,5,5,train
34/6,34,6,6,train
34/7,34,7,7,train
34/8,34,8,8,train
34/9,34,9,9,train
35/0,35,0,0,train
35/1,35,1,1,train
35/10,35,10,10,train
35/11,35,11,11,train
35/12,35,12,12,train
35/13,35,13,13,train
35/14,35,14,14,train
35/15,35,15,15,val
35/16,35,16,16,val
35/17,35,17,17,val
35/18,35,18,18,test
35/19,35,19,19,test
35/2,35,2,2,train
35/20,35,20,20,test
35/3,35,3,3,train
35/4,35,4,4,train
35/5,35,5,5,train
35/6,35,6,6,train
35/7,35,7,7,train
35/8,35,8,8,train
35/9,35,9,9,train
36/0,36,0,0,train
36/1,36,1,1,train
36/10,36,10,10,train
36/11,36,11,11,train
36/12,36,12,12,train
36/13,36,13,13,train
36/14,36,14,14,train
36/15,36,15,15,val
36/16,36,16,16,val
36/17,36,17,17,val
36/18,36,18,18,test
36/19,36,19,19,test
36/2,36,2,2,train
36/20,36,20,20,test
36/3,36,3,3,train
36/4,36,4,4,train
36/5,36,5,5,train
36/6,36,6,6,train
36/7,36,7,7,train
36/8,36,8,8,train
36/9,36,9,9,train
37/0,37,0,0,train
37/1,37,1,1,train
37/10,37,10,10,train
37/11,37,11,11,train
37/12,37,12,12,train
37/13,37,13,13,train
37/14,37,14,14,train
37/15,37,15,15,val
37/16,37,16,16,val
37/17,37,17,17,val
37/18,37,18,18,test
37/19,37,19,19,test
37/2,37,2,2,train
37/20,37,20,20,test
37/3,37,3,3,train
37/4,37,4,4,train
37/5,37,5,5,train
37/6,37,6,6,train
37/7,37,7,7,train
37/8,37,8,8,train
37/9,37,9,9,train
38/0,38,0,0,train
38/1,38,1,1,train
38/10,38,10,10,train
38/11,38,11,11,train
38/12,38,12,12,train
38/13,38,13,13,train
38/14,38,14,14,train
38/15,38,15,15,val
38/16,38,16,16,val
38/17,38,17,17,val
38/18,38,18,18,test
38/19,38,19,19,test
38/2,38,2,2,train
38/20,38,20,20,test
38/3,38,3,3,train
38/4,38,4,4,train
38/5,38,5,5,train
38/6,38,6,6,train
38/7,38,7,7,train
38/8,38,8,8,train
38/9,38,9,9,train
39/0,39,0,0,train
39/1,39,1,1,train
39/10,39,10,10,train
39/11,39,11,11,train
39/12,39,12,12,train
39/13,39,13,13,train
39/14,39,14,14,train
39/15,39,15,15,val
39/16,39,16,16,val
39/17,39,17,17,val
39/18,39,18,18,test
39/19,39,19,19,test
39/2,39,2,2,train
39/20,39,20,20,test
39/3,39,3,3,train
39/4,39,4,4,train
39/5,39,5,5,train
39/6,39,6,6,train
39/7,39,7,7,train
39/8,39,8,8,train
39/9,39,9,9,train
4/0,4,0,0,train
4/1,4,1,1,train
4/10,4,10,10,train
4/11,4,11,11,train
4/12,4,12,12,train
4/13,4,13,13,train
4/14,4,14,14,train
4/15,4,15,15,val
4/16,4,16,16,val
4/17,4,17,17,val
4/18,4,18,18,test
4/19,4,19,19,test
4/2,4,2,2,train
4/20,4,20,20,test
4/3,4,3,3,train
4/4,4,4,4,train
4/5,4,5,5,train
4/6,4,6,6,train
4/7,4,7,7,train
4/8,4,8,8,train
4/9,4,9,9,train
5/0,5,0,0,train
5/1,5,1,1,train
5/10,5,10,10,train
5/11,5,11,11,train
5/12,5,12,12,train
5/13,5,13,13,train
5/14,5,14,14,train
5/15,5,15,15,val
5/16,5,16,16,val
5/17,5,17,17,val
5/18,5,18,18,test
5/19,5,19,19,test
5/2,5,2,2,train
5/20,5,20,20,test
5/3,5,3,3,train
5/4,5,4,4,train
5/5,5,5,5,train
5/6,5,6,6,train
5/7,5,7,7,train
5/8,5,8,8,train
5/9,5,9,9,train
6/0,6,0,0,train
6/1,6,1,1,train
6/10,6,10,10,train
6/11,6,11,11,train
6/12,6,12,12,train
6/13,6,13,13,train
6/14,6,14,14,train
6/15,6,15,15,val
6/16,6,16,16,val
6/17,6,17,17,val
6/18,6,18,18,test
6/19,6,19,19,test
6/2,6,2,2,train
6/20,6,20,20,test
6/3,6,3,3,train
6/4,6,4,4,train
6/5,6,5,5,train
6/6,6,6,6,train
6/7,6,7,7,train
6/8,6,8,8,train
6/9,6,9,9,train
7/0,7,0,0,train
7/1,7,1,1,train
7/10,7,10,10,train
7/11,7,11,11,train
7/12,7,12,12,train
7/13,7,13,13,train
7/14,7,14,14,train
7/15,7,15,15,val
7/16,7,16,16,val
7/17,7,17,17,val
7/18,7,18,18,test
7/19,7,19,19,test
7/2,7,2,2,train
7/20,7,20,20,test
7/3,7,3,3,train
7/4,7,4,4,train
7/5,7,5,5,train
7/6,7,6,6,train
7/7,7,7,7,train
7/8,7,8,8,train
7/9,7,9,9,train
8/0,8,0,0,train
8/1,8,1,1,train
8/10,8,10,10,train
8/11,8,11,11,train
8/12,8,12,12,train
8/13,8,13,13,train
8/14,8,14,14,train
8/15,8,15,15,val
8/16,8,16,16,val
8/17,8,17,17,val
8/18,8,18,18,test
8/19,8,19,19,test
8/2,8,2,2,train
8/20,8,20,20,test
8/3,8,3,3,train
8/4,8,4,4,train
8/5,8,5,5,train
8/6,8,6,6,train
8/7,8,7,7,train
8/8,8,8,8,train
8/9,8,9,9,train
9/0,9,0,0,train
9/1,9,1,1,train
9/10,9,10,10,train
9/11,9,11,11,train
9/12,9,12,12,train
9/13,9,13,13,train
9/14,9,14,14,train
9/15,9,15,15,val
9/16,9,16,16,val
9/17,9,17,17,val
9/18,9,18,18,test
9/19,9,19,19,test
9/2,9,2,2,train
9/20,9,20,20,test
9/3,9,3,3,train
9/4,9,4,4,train
9/5,9,5,5,train
9/6,9,6,6,train
9/7,9,7,7,train
9/8,9,8,8,train
9/9,9,9,9,train
