schema_version,qc_version,sample_id,char_id,sample_index,hard_exclusion_reasons,canonical_sample_id,decision
1,dataset_qc_v1,27/12,27,12,IMAGE_GT_MISMATCH_IOU_LT_0.80,,EXCLUDE
1,dataset_qc_v1,28/12,28,12,IMAGE_GT_MISMATCH_IOU_LT_0.80,,EXCLUDE
1,dataset_qc_v1,29/12,29,12,IMAGE_GT_MISMATCH_IOU_LT_0.80,,EXCLUDE
1,dataset_qc_v1,29/13,29,13,EXACT_DUPLICATE_NONCANONICAL,29/5,EXCLUDE
1,dataset_qc_v1,30/3,30,3,EXACT_DUPLICATE_NONCANONICAL,30/2,EXCLUDE
1,dataset_qc_v1,30/11,30,11,EXACT_DUPLICATE_NONCANONICAL,30/10,EXCLUDE
1,dataset_qc_v1,30/12,30,12,IMAGE_GT_MISMATCH_IOU_LT_0.80,,EXCLUDE
1,dataset_qc_v1,30/13,30,13,EXACT_DUPLICATE_NONCANONICAL,30/5,EXCLUDE
1,dataset_qc_v1,31/3,31,3,EXACT_DUPLICATE_NONCANONICAL,31/2,EXCLUDE
1,dataset_qc_v1,31/11,31,11,EXACT_DUPLICATE_NONCANONICAL,31/10,EXCLUDE
1,dataset_qc_v1,31/12,31,12,IMAGE_GT_MISMATCH_IOU_LT_0.80,,EXCLUDE
1,dataset_qc_v1,31/13,31,13,EXACT_DUPLICATE_NONCANONICAL,31/5,EXCLUDE
1,dataset_qc_v1,32/3,32,3,EXACT_DUPLICATE_NONCANONICAL,32/2,EXCLUDE
1,dataset_qc_v1,32/11,32,11,EXACT_DUPLICATE_NONCANONICAL,32/10,EXCLUDE
1,dataset_qc_v1,32/12,32,12,IMAGE_GT_MISMATCH_IOU_LT_0.80,,EXCLUDE
1,dataset_qc_v1,32/13,32,13,EXACT_DUPLICATE_NONCANONICAL,32/5,EXCLUDE
1,dataset_qc_v1,33/3,33,3,EXACT_DUPLICATE_NONCANONICAL,33/2,EXCLUDE
1,dataset_qc_v1,33/11,33,11,EXACT_DUPLICATE_NONCANONICAL,33/10,EXCLUDE
1,dataset_qc_v1,33/12,33,12,IMAGE_GT_MISMATCH_IOU_LT_0.80,,EXCLUDE
1,dataset_qc_v1,33/13,33,13,EXACT_DUPLICATE_NONCANONICAL,33/5,EXCLUDE
1,dataset_qc_v1,34/3,34,3,EXACT_DUPLICATE_NONCANONICAL,34/2,EXCLUDE
1,dataset_qc_v1,34/11,34,11,EXACT_DUPLICATE_NONCANONICAL,34/10,EXCLUDE
1,dataset_qc_v1,34/12,34,12,IMAGE_GT_MISMATCH_IOU_LT_0.80,,EXCLUDE
1,dataset_qc_v1,34/13,34,13,EXACT_DUPLICATE_NONCANONICAL,34/5,EXCLUDE
1,dataset_qc_v1,35/3,35,3,EXACT_DUPLICATE_NONCANONICAL,35/2,EXCLUDE
1,dataset_qc_v1,35/11,35,11,EXACT_DUPLICATE_NONCANONICAL,35/10,EXCLUDE
1,dataset_qc_v1,35/12,35,12,IMAGE_GT_MISMATCH_IOU_LT_0.80,,EXCLUDE
1,dataset_qc_v1,35/13,35,13,EXACT_DUPLICATE_NONCANONICAL,35/5,EXCLUDE
1,dataset_qc_v1,36/3,36,3,EXACT_DUPLICATE_NONCANONICAL,36/2,EXCLUDE
1,dataset_qc_v1,36/4,36,4,IMAGE_GT_MISMATCH_IOU_LT_0.80,,EXCLUDE
1,dataset_qc_v1,36/10,36,10,EXACT_DUPLICATE_NONCANONICAL,36/9,EXCLUDE
1,dataset_qc_v1,36/11,36,11,EXACT_DUPLICATE_NONCANONICAL,36/9,EXCLUDE
1,dataset_qc_v1,36/13,36,13,EXACT_DUPLICATE_NONCANONICAL,36/5,EXCLUDE
1,dataset_qc_v1,37/3,37,3,EXACT_DUPLICATE_NONCANONICAL,37/2,EXCLUDE
1,dataset_qc_v1,37/4,37,4,IMAGE_GT_MISMATCH_IOU_LT_0.80,,EXCLUDE
1,dataset_qc_v1,37/11,37,11,EXACT_DUPLICATE_NONCANONICAL,37/10,EXCLUDE
1,dataset_qc_v1,37/13,37,13,EXACT_DUPLICATE_NONCANONICAL,37/5,EXCLUDE
1,dataset_qc_v1,38/1,38,1,EXACT_DUPLICATE_NONCANONICAL,38/0,EXCLUDE
1,dataset_qc_v1,38/3,38,3,EXACT_DUPLICATE_NONCANONICAL,38/2,EXCLUDE
1,dataset_qc_v1,38/4,38,4,IMAGE_GT_MISMATCH_IOU_LT_0.80,,EXCLUDE
1,dataset_qc_v1,38/10,38,10,EXACT_DUPLICATE_NONCANONICAL,38/9,EXCLUDE
1,dataset_qc_v1,38/11,38,11,EXACT_DUPLICATE_NONCANONICAL,38/9,EXCLUDE
1,dataset_qc_v1,38/12,38,12,EXACT_DUPLICATE_NONCANONICAL,38/9,EXCLUDE
1,dataset_qc_v1,38/13,38,13,EXACT_DUPLICATE_NONCANONICAL,38/5,EXCLUDE
1,dataset_qc_v1,39/1,39,1,EXACT_DUPLICATE_NONCANONICAL,39/0,EXCLUDE
1,dataset_qc_v1,39/3,39,3,EXACT_DUPLICATE_NONCANONICAL,39/2,EXCLUDE
1,dataset_qc_v1,39/11,39,11,EXACT_DUPLICATE_NONCANONICAL,39/10,EXCLUDE
1,dataset_qc_v1,39/12,39,12,EXACT_DUPLICATE_NONCANONICAL,39/10,EXCLUDE
1,dataset_qc_v1,39/13,39,13,EXACT_DUPLICATE_NONCANONICAL,39/5,EXCLUDE
1,dataset_qc_v1,39/17,39,17,EXACT_DUPLICATE_NONCANONICAL,39/16,EXCLUDE
